bias_brute;rmse;bias_rel;relative_rmse;bias_out_20percent;nb_out_20percent;n;R2;val;Combination
-0.004906998;4.18749481;0.233440374;0.63545492;0.436781609;1444;3306;0.723805822;CV10F;C0_C05xgb
-0.019597129;3.701491489;0.210433311;0.613300757;0.401268116;443;1104;0.740589937;Test;C0_C05xgb
4.875476464;8.289272111;1.034063038;1.699933707;0.772727273;17;22;0.53563051;Moreira et al. (2023);C0_C05xgb
7.417737365;8.201495748;1.394049046;1.620627659;0.969387755;4275;4410;0.771896215;Arab-Alameddine et al. (2012);C0_C05xgb
-0.002436454;4.190898457;0.219359409;0.617681453;0.433454325;1433;3306;0.723328119;CV10F;C0_C05rf
0.007101963;3.683871606;0.202182729;0.598080116;0.407608696;450;1104;0.742531379;Test;C0_C05rf
5.57436589;9.303386392;1.240970274;2.078227261;0.772727273;17;22;0.428456866;Moreira et al. (2023);C0_C05rf
7.473690272;8.278384399;1.435985023;1.694114704;0.964852608;4255;4410;0.738488641;Arab-Alameddine et al. (2012);C0_C05rf
-0.636567807;5.185807337;0.353095759;0.957474953;0.449183303;1485;3306;0.586704526;CV10F;C0_C05svm
-0.891308814;4.495862289;0.313162514;0.929841588;0.424818841;469;1104;0.639171946;Test;C0_C05svm
6.943261598;17.03820161;1.700054642;3.765820873;0.545454545;12;22;0.078363592;Moreira et al. (2023);C0_C05svm
4.558366505;6.446070611;0.795621881;0.98109879;0.845578231;3729;4410;0.769069589;Arab-Alameddine et al. (2012);C0_C05svm
0.003122523;5.035127016;0.628511682;1.347860014;0.555656382;1837;3306;0.600583668;CV10F;C0_C05glmnet
-0.206976173;4.52173304;0.588258752;1.320119533;0.518115942;572;1104;0.622443439;Test;C0_C05glmnet
6.093997447;13.95135787;1.517102411;3.153843655;0.681818182;15;22;0.119786796;Moreira et al. (2023);C0_C05glmnet
4.164073299;5.394782701;0.81436552;1.015758879;0.86553288;3817;4410;0.804507396;Arab-Alameddine et al. (2012);C0_C05glmnet
-0.071241284;3.238834296;0.150349004;0.465623806;0.387174834;1280;3306;0.835500641;CV10F;C0_C1xgb
-0.1633693;2.903916066;0.121549754;0.428917348;0.358695652;396;1104;0.841589681;Test;C0_C1xgb
4.54202975;8.551979854;0.961484736;1.759677089;0.681818182;15;22;0.555631831;Moreira et al. (2023);C0_C1xgb
4.566937151;5.229269499;0.830373132;0.956995342;0.90521542;3992;4410;0.862297792;Arab-Alameddine et al. (2012);C0_C1xgb
-0.012732812;3.249236394;0.111867977;0.39247662;0.346944949;1147;3306;0.833673848;CV10F;C0_C1rf
-0.048742163;2.916385492;0.097695482;0.389379696;0.336050725;371;1104;0.838714627;Test;C0_C1rf
4.734167819;9.496377354;0.96371775;1.861478775;0.727272727;16;22;0.459341748;Moreira et al. (2023);C0_C1rf
5.171571797;5.972201951;0.943557831;1.099876436;0.907256236;4001;4410;0.812627398;Arab-Alameddine et al. (2012);C0_C1rf
-0.206232202;3.841331125;0.311562707;0.758804894;0.463399879;1532;3306;0.768284499;CV10F;C0_C1svm
-0.443474952;3.470860813;0.278603127;0.732954908;0.434782609;480;1104;0.786199531;Test;C0_C1svm
5.846545053;14.30864755;1.341511523;3.054462021;0.636363636;14;22;0.166062265;Moreira et al. (2023);C0_C1svm
2.906615456;4.337177548;0.532906863;0.686170709;0.742857143;3276;4410;0.827119591;Arab-Alameddine et al. (2012);C0_C1svm
0.001462437;3.77339451;0.362364656;0.813082379;0.510889292;1689;3306;0.775691233;CV10F;C0_C1glmnet
-0.23497233;3.509837076;0.329212802;0.788844109;0.47826087;528;1104;0.772916128;Test;C0_C1glmnet
5.19960777;12.64562215;1.175241415;2.661347432;0.636363636;14;22;0.221953993;Moreira et al. (2023);C0_C1glmnet
2.406426783;3.489107671;0.472823025;0.615620455;0.722902494;3188;4410;0.866278254;Arab-Alameddine et al. (2012);C0_C1glmnet
-0.008801881;1.847193236;0.030738808;0.200935052;0.156987296;519;3306;0.946245698;CV10F;C0_C2xgb
-0.074200451;1.762374532;0.017553612;0.182814187;0.135869565;150;1104;0.941168696;Test;C0_C2xgb
4.002134356;8.058326295;0.801179387;1.567883162;0.681818182;15;22;0.469254356;Moreira et al. (2023);C0_C2xgb
1.770263757;2.770508476;0.293144895;0.391828791;0.606122449;2673;4410;0.899267119;Arab-Alameddine et al. (2012);C0_C2xgb
-0.016293583;1.937170308;0.03165455;0.183482907;0.153962492;509;3306;0.940908253;CV10F;C0_C2rf
-0.072162898;1.733145612;0.022621748;0.176647723;0.14673913;162;1104;0.94310123;Test;C0_C2rf
3.088538921;6.297531909;0.569639082;1.092699443;0.636363636;14;22;0.635937994;Moreira et al. (2023);C0_C2rf
1.859233948;2.729134388;0.326482746;0.426643958;0.650340136;2868;4410;0.902913423;Arab-Alameddine et al. (2012);C0_C2rf
0.057029144;1.974650486;0.156482713;0.358911653;0.336358137;1112;3306;0.939234979;CV10F;C0_C2svm
-0.087988966;1.878214799;0.142875394;0.350137595;0.332427536;367;1104;0.937040976;Test;C0_C2svm
4.154854805;9.833098619;0.895265812;2.014149077;0.681818182;15;22;0.287978201;Moreira et al. (2023);C0_C2svm
0.80194211;1.908751839;0.172478292;0.284057909;0.40430839;1783;4410;0.91817386;Arab-Alameddine et al. (2012);C0_C2svm
0.000892842;1.958681383;0.10610118;0.283771298;0.281306715;930;3306;0.939590549;CV10F;C0_C2glmnet
-0.142411521;1.869466313;0.093246624;0.275965371;0.281702899;311;1104;0.935625586;Test;C0_C2glmnet
3.996417818;9.639550151;0.843505201;1.942588911;0.681818182;15;22;0.305670438;Moreira et al. (2023);C0_C2glmnet
0.610532877;1.745575999;0.128885952;0.237660896;0.332879819;1468;4410;0.926736291;Arab-Alameddine et al. (2012);C0_C2glmnet
-0.006811009;2.003694417;0.05967398;0.24549912;0.252268603;834;3306;0.936754931;CV10F;C0_C3xgb
0.162615165;1.860262878;0.070571867;0.242401743;0.276268116;305;1104;0.937304614;Test;C0_C3xgb
1.806618545;5.009011488;0.493278596;1.134034608;0.454545455;10;22;0.430737031;Moreira et al. (2023);C0_C3xgb
0.444981822;1.7032299;0.079132227;0.202283945;0.240589569;1061;4410;0.924150438;Arab-Alameddine et al. (2012);C0_C3xgb
-0.015020528;2.05895902;0.057867374;0.235545612;0.260133091;860;3306;0.933551002;CV10F;C0_C3rf
0.165387591;1.844474648;0.065622825;0.2279145;0.27173913;300;1104;0.93752138;Test;C0_C3rf
1.830639174;4.697067958;0.467553533;0.992304884;0.454545455;10;22;0.500123705;Moreira et al. (2023);C0_C3rf
0.497648095;1.597592819;0.116283031;0.227024008;0.329478458;1453;4410;0.930732711;Arab-Alameddine et al. (2012);C0_C3rf
-0.109130877;1.971986137;0.088001321;0.277411153;0.289171204;956;3306;0.939258079;CV10F;C0_C3svm
0.006067929;1.822933951;0.095393812;0.274786617;0.291666667;322;1104;0.937138919;Test;C0_C3svm
2.015795228;6.797347872;0.560553963;1.439742407;0.454545455;10;22;0.225716933;Moreira et al. (2023);C0_C3svm
0.162267004;1.541225201;0.067951034;0.191708642;0.215646259;951;4410;0.929553799;Arab-Alameddine et al. (2012);C0_C3svm
0.001235253;1.965907241;0.105703273;0.288427831;0.311554749;1030;3306;0.939134847;CV10F;C0_C3glmnet
0.118943988;1.842508043;0.114473046;0.288291163;0.325181159;359;1104;0.936686346;Test;C0_C3glmnet
1.99023816;6.609188963;0.549083986;1.394164125;0.454545455;10;22;0.240020629;Moreira et al. (2023);C0_C3glmnet
0.155007321;1.476834556;0.068238644;0.186970621;0.207482993;915;4410;0.93506885;Arab-Alameddine et al. (2012);C0_C3glmnet
-0.002358648;3.025357353;0.133876369;0.405656892;0.399879008;1322;3306;0.855802386;CV10F;C0_C4xgb
0.198799726;2.82025823;0.140646701;0.390293274;0.391304348;432;1104;0.854455468;Test;C0_C4xgb
1.034965424;3.711061988;0.41742476;0.861364701;0.590909091;13;22;0.444044846;Moreira et al. (2023);C0_C4xgb
0.76827484;2.057843106;0.18617046;0.310500968;0.497278912;2193;4410;0.890424792;Arab-Alameddine et al. (2012);C0_C4xgb
-0.004987168;3.094203242;0.126529886;0.396185082;0.387779794;1282;3306;0.849323382;CV10F;C0_C4rf
0.192962394;2.789567123;0.130652097;0.373951559;0.389492754;430;1104;0.855524346;Test;C0_C4rf
0.820194464;4.018548196;0.408727339;0.852015655;0.590909091;13;22;0.332661616;Moreira et al. (2023);C0_C4rf
0.522782812;1.898992348;0.144119529;0.265429064;0.37324263;1646;4410;0.899785671;Arab-Alameddine et al. (2012);C0_C4rf
