bias_brut;rmse;bias_rel;relative_rmse;biais_out_20percent;nb_out_20percent;n;R2;val;Combination
0.000774046;3.522083529;0.324472457;0.739341743;0.494555354;1635;3306;0.804564273;CV10F;C05_C1_C12glmnet
-0.207307731;3.298372506;0.299058687;0.717105157;0.461956522;510;1104;0.799454613;Test;C05_C1_C12glmnet
-0.014180915;3.721773141;0.236427302;0.997952261;0.363636364;8;22;0.577407365;Moreira et al. (2023);C05_C1_C12glmnet
1.794351738;3.606016329;0.377954848;0.566565436;0.607029478;2677;4410;0.783403143;Arab-Alameddine et al. (2012);C05_C1_C12glmnet
-0.033831887;2.887312886;0.081894328;0.317040993;0.287053842;949;3306;0.86880052;CV10F;C05_C1_C12rf
-0.060394311;2.458346069;0.070971734;0.317901244;0.278985507;308;1104;0.885541221;Test;C05_C1_C12rf
-0.523982503;2.958266077;0.103740292;0.633976621;0.318181818;7;22;0.675972018;Moreira et al. (2023);C05_C1_C12rf
3.227082157;4.411508885;0.600394372;0.813377855;0.707709751;3121;4410;0.793989448;Arab-Alameddine et al. (2012);C05_C1_C12rf
-0.114681639;3.548506636;0.306821061;0.728077235;0.472474289;1562;3306;0.801985794;CV10F;C05_C1_C12svm
-0.333490914;3.279371933;0.279012702;0.703332409;0.442028986;488;1104;0.807416414;Test;C05_C1_C12svm
-0.079300625;3.639700123;0.261447599;1.068501127;0.318181818;7;22;0.550358147;Moreira et al. (2023);C05_C1_C12svm
2.201264483;4.162419168;0.432119424;0.625756793;0.642403628;2833;4410;0.761310446;Arab-Alameddine et al. (2012);C05_C1_C12svm
-0.026094492;2.799495837;0.074154257;0.313021716;0.268905021;889;3306;0.876566407;CV10F;C05_C1_C12xgb
-0.078620419;2.442413685;0.060463204;0.310695051;0.260869565;288;1104;0.886911182;Test;C05_C1_C12xgb
-0.615955596;3.329252901;0.065081626;0.663156544;0.318181818;7;22;0.643333814;Moreira et al. (2023);C05_C1_C12xgb
1.841686002;3.543483767;0.348375156;0.616701328;0.497732426;2195;4410;0.81101519;Arab-Alameddine et al. (2012);C05_C1_C12xgb
-0.001937246;3.046245368;0.220184257;0.518210903;0.452813067;1497;3306;0.853805404;CV10F;C05_C1_C2glmnet
-0.008768487;2.652473452;0.216533714;0.512655109;0.446557971;493;1104;0.866690935;Test;C05_C1_C2glmnet
0.329773158;3.898209569;0.060432914;0.56107706;0.363636364;8;22;0.655325425;Moreira et al. (2023);C05_C1_C2glmnet
-1.973415018;3.607961777;-0.181080783;0.318520743;0.092970522;410;4410;0.747250367;Arab-Alameddine et al. (2012);C05_C1_C2glmnet
-0.055681654;2.676968065;0.079771873;0.294321018;0.247731397;819;3306;0.88722539;CV10F;C05_C1_C2rf
-0.07287156;2.165733616;0.077753557;0.328524075;0.227355072;251;1104;0.911203294;Test;C05_C1_C2rf
1.612348495;4.911906583;0.277071105;0.836814754;0.409090909;9;22;0.570235597;Moreira et al. (2023);C05_C1_C2rf
-1.627859029;3.68764754;-0.104056496;0.422198755;0.173922902;767;4410;0.683736792;Arab-Alameddine et al. (2012);C05_C1_C2rf
-0.172624987;3.090706234;0.230393914;0.5639222;0.438596491;1450;3306;0.852016315;CV10F;C05_C1_C2svm
-0.177742894;2.73865392;0.225083121;0.556611195;0.430253623;475;1104;0.861720696;Test;C05_C1_C2svm
0.103093367;3.561998851;0.033047597;0.513682554;0.363636364;8;22;0.686041992;Moreira et al. (2023);C05_C1_C2svm
-2.150015596;3.786616637;-0.190725893;0.328298848;0.090022676;397;4410;0.747655531;Arab-Alameddine et al. (2012);C05_C1_C2svm
-0.042188428;2.508506503;0.07183116;0.340922818;0.224440411;742;3306;0.900931298;CV10F;C05_C1_C2xgb
-0.05714583;2.053239022;0.069900208;0.372270935;0.230072464;254;1104;0.920142717;Test;C05_C1_C2xgb
2.619430838;6.077977424;0.442006742;1.010914251;0.545454545;12;22;0.487719119;Moreira et al. (2023);C05_C1_C2xgb
-0.785939867;3.50273494;0.03090078;0.46214737;0.285487528;1259;4410;0.649010423;Arab-Alameddine et al. (2012);C05_C1_C2xgb
0.000759081;2.011044316;0.095299228;0.261525632;0.267392619;884;3306;0.93630713;CV10F;C05_C1_C3glmnet
0.143540634;1.631269413;0.103934267;0.257622194;0.285326087;315;1104;0.950528012;Test;C05_C1_C3glmnet
-0.603081369;2.786089467;-0.0853321;0.355459582;0.227272727;5;22;0.719273603;Moreira et al. (2023);C05_C1_C3glmnet
-1.615081868;2.853243198;-0.183154703;0.266980964;0.03106576;137;4410;0.846508407;Arab-Alameddine et al. (2012);C05_C1_C3glmnet
-0.070181936;1.636409491;0.017155598;0.145846592;0.075015124;248;3306;0.958056945;CV10F;C05_C1_C3rf
0.080235074;1.290331347;0.024101117;0.141204898;0.08423913;93;1104;0.969605955;Test;C05_C1_C3rf
0.39563001;3.30906117;0.085291604;0.533510598;0.318181818;7;22;0.682905169;Moreira et al. (2023);C05_C1_C3rf
-0.468705666;2.208713339;-0.008005579;0.250131544;0.175283447;773;4410;0.863264608;Arab-Alameddine et al. (2012);C05_C1_C3rf
-0.056227307;2.051712909;0.129656651;0.323517799;0.308529946;1020;3306;0.935150636;CV10F;C05_C1_C3svm
0.07392898;1.636019056;0.136053447;0.319175906;0.315217391;348;1104;0.949513915;Test;C05_C1_C3svm
-0.628271442;2.557646782;-0.08310527;0.327043592;0.136363636;3;22;0.760095298;Moreira et al. (2023);C05_C1_C3svm
-1.745498806;3.011394943;-0.183200832;0.270181778;0.035600907;157;4410;0.844221153;Arab-Alameddine et al. (2012);C05_C1_C3svm
-0.028885784;1.489145816;0.02216485;0.156795026;0.0892317;295;3306;0.965129261;CV10F;C05_C1_C3xgb
0.108591746;1.156504444;0.033192351;0.160856661;0.106884058;118;1104;0.975854387;Test;C05_C1_C3xgb
0.717349546;3.87465274;0.135110836;0.573428375;0.409090909;9;22;0.600765848;Moreira et al. (2023);C05_C1_C3xgb
-0.032772803;2.070529362;0.055514709;0.248671545;0.239002268;1054;4410;0.871076574;Arab-Alameddine et al. (2012);C05_C1_C3xgb
0.000572767;1.355965605;0.056792061;0.168810013;0.137326074;454;3306;0.971060742;CV10F;C05_C1_C4glmnet
0.054610134;1.038410425;0.0580393;0.162452504;0.135869565;150;1104;0.979596592;Test;C05_C1_C4glmnet
-0.520433296;1.460694213;-0.073046831;0.248749483;0.090909091;2;22;0.916655529;Moreira et al. (2023);C05_C1_C4glmnet
-1.253646279;2.155723282;-0.146335682;0.206303878;0.003854875;17;4410;0.922817721;Arab-Alameddine et al. (2012);C05_C1_C4glmnet
-0.036187938;1.125080509;0.010553718;0.096999487;0.027828191;92;3306;0.980381425;CV10F;C05_C1_C4rf
0.051856123;0.928806871;0.011480399;0.094210374;0.023550725;26;1104;0.984037436;Test;C05_C1_C4rf
